Haplogroup_name,Haplogroup_l1,Haplogroup_l2l2a,Haplogroup_l2b,Haplogroup_R1a,Haplogroup_R1b,Haplogroup_G,Haplogroup_J2,Haplogroup_JJ1,Haplogroup_E1b1b,Haplogroup_T,Haplogroup_Q,Haplogroup_N
Finland,28,0,0.5,5,3.5,0,0,0,0.5,0,0,61.5
Flanders-Artois,13,2.5,1,2.5,61,6,2.5,0,12,0,0,0
France,8.5,3,3.5,3,58.5,5.5,6,1.5,7.5,1,0.5,0
Gagauzes,4,20,3,19,12.5,13.5,5.5,2,11,3,0,1
Galicia,5,3.5,2,1,57,4,10.5,4,10.5,2,0,0
Germany,16,1.5,4.5,16,44.5,5,4.5,0,5.5,1,0.5,1
Gotland,50,0,5.5,14.5,17.5,0,0,0,1,2,4,7.5
Greece,3.5,9.5,1.5,11.5,15.5,6.5,23,3,21,4.5,0,0
Greek Cypriots,0.5,3,0,3.5,11,12.5,31.5,7.5,25,2,0.5,0
Greenland,14.5,0,2,9,21.5,0,2,0,0.5,0,49.5,0
Hungary,8.5,16,2,29.5,18.5,3.5,6.5,3,8,0,0,0.5
Iceland,29,0,4,23,42,0,0,0,0,0,1,1
Ile-de-France,2.5,2,2,3.5,57.5,3.5,6.5,1,20.5,0,0,0.5
Ireland,6,1,5,2.5,81,1,1,0,2,0,0,0
Italy,4.5,3,2.5,4,39,9,15.5,3,13.5,2.5,0,0
Komis,2,2,0,29,11,0,0,0,5,0,0,51
Kosovo,5.5,2.5,0,4.5,21,0,16.5,0,47.5,0,0,0
Latvia,6,1,1,40,12,0,0.5,0,0.5,0.5,0.5,38
Lithuania,6,6,1,38,5,0,0,0,1,0.5,0.5,42
Macedonia,3,23,1.5,13.5,12.5,4,14,2,21.5,1.5,0.5,0.5
Malta,1,10,1,3.5,32.5,6.5,21,8,9,4.5,1,0
Maris,3,1,0,32,2,1,0,0,0,1,0,61
Midi-Pyrénées,2.5,5,2.5,4,61,4,8.5,4,7.5,1,0,0
Moldova,5,21,3,30.5,16,1,4,4,13,1,0,1.5
Montenegro,6,29.5,1.5,7.5,9.5,2.5,9,0.5,27,0,2,1.5
Mordvins (Mordovians),8,1,3,36,11,3,14,0,9,0,0,15
Netherlands,16.5,1,6.5,4,49,4.5,3.5,0.5,3.5,1,0,0
Normandy,7,4,2,1,76,0,2,1,5,0,1,0
North Germany,18.5,0.5,7.5,22,36,3.5,4,0.5,2.5,1,2,1.5
North Greece,5.5,16,1,18,13,4.5,15,2.5,20.5,4,0,0
North Italy,7,1,3.5,4.5,49.5,7.5,10,1.5,11,2,0,0
Norway,31.5,0,4.5,25.5,32,1,0.5,0,1,0,1,2.5
Poitou-Saintonge,1.5,3,0,0,74.5,7.5,6,0,1.5,0,0,0
Poland,8.5,5.5,2,57.5,12.5,1.5,2.5,0,3.5,0.5,0.5,4
Portugal,2,1.5,3,1.5,56,6.5,9.5,3,14,2.5,0.5,0
Provence,2,4,1,5,58,7.5,8.5,1,10.5,1,2,0
Rhône-Alpes,7,1.5,2.5,5,66.5,5,2.5,0,5,0,5,0
Romania,3.5,28,2.5,18,15.5,3,13.5,1,14,1,0.5,1.5
Russia,5,10.5,0,46,6,1,3,0,2.5,1.5,1.5,23
Sardinia,0,37.5,2,1,18.5,12,9,4,9.5,1.5,0,0
Scotland,9,1,4,8.5,72.5,0.5,2,0,1.5,0.5,0.5,0
Serbia,8,34,0.5,18,6,2.5,9,1,15,0.5,1,-2.5
Sicily,3.5,3,1,4.5,26,8.5,23,3.5,20.5,4,1,0
Slovakia,6.5,16,1.5,41.5,14.5,4,2,1,6.5,0.5,0.5,3
Slovenia,9,20.5,1.5,38,18,1.5,2.5,0,5,1,0,0
South Germany,10.5,4.5,3,9.5,48.5,8,5.5,1,8,1.5,0.5,0.5
South Greece,1.5,9,1,10.5,20.5,3.5,19.5,1,27,4.5,0,0
South Italy,2.5,3.5,1,3,27.5,10.5,21.5,4,18.5,2.5,0,0
Spain,1.5,4.5,1,2,69,3,8,1.5,7,2.5,0,0
Sweden,37,1.5,3.5,16,21.5,1,2.5,0,3,0,2.5,7
Switzerland,14,1.5,8,3.5,50,7.5,3,0.5,7.5,0.5,1.5,1
Tatars,8,2,1,24.5,8.5,9,10.5,0.5,10,5,2,16
Turkey/Anatolia,1,4,0.5,7.5,16,11,24,9,11,2.5,2,4
Turkish Cypriots,0.5,5.5,0,3.5,6.5,14,23.5,10,23,3.5,1,2
Tuscany,4,1.5,2.5,4,52.5,9,11.5,2,9,2,0,0
Tyrol,16,1,2.5,14,42,7.5,9,-,5.5,1,0.5,0
Udmurts,2,0.5,0.5,15,13,0.5,0,0,0.5,0.5,0,67
Ukraine,4.5,20.5,0.5,44,8,3,4.5,0.5,6.5,1,0.5,5.5
Valencia,3,5.5,1,3,63.5,1,6,2,13.5,1.5,0,0
Wales,12,1,3,1,74,2.5,0.5,0,4,1,0,0
West Germany,12.5,2.5,6.5,9,47,5,5,0,8,1.5,0.5,2
